id,type,text1,text2,text3,text4,notes
shuttlepod,SHIP,"A tiny, nimble personnel-transfer shuttle just sufficient to transport the senior bridge officers of any ship in the Sector.",,,,
buffalo,SHIP,"The go-to choice for medium cargo hauling in the Sector, the Buffalo-class freighter exemplifies the ""Load-n-Pray"" principle prevalent in Sector shipping.

Sporting just a single small weapon emplacement, the hull of the ship is no more than a large engine with a tiny crew quarters section and cargo grapplers. A captain taking this ship out without a convoy rarely gets to make the same mistake twice. Incapable of anything resembling a combat maneuver, the lateral thrusters on Buffalo-class ships are designed to merely enable it to dock when (and if) it reaches its destination.

The ship engines are the greatest contributor to hull cost, which, while low, is still within the norms for a medium freighter. The greatest contributing factor to its ubiquity is the fact that the blueprint for this ship is usually hardcoded into every orbital shipyard's blueprint database.",,,,
enforcer,SHIP,"The Enforcer-class ships commonly serve in system or convoy defense roles. The design features good armor and multiple ballistic hardpoints, while shield performance is somewhat underwhelming. 

The blueprints of the ship call for many components similar to those found in the Onslaught-class battleships, suggesting that the designs were created during a similar period of military expansion in the Domain. The Enforcer-class features similar no-nonsense weapon system design choices, tough bulkheads, and is well regarded by its crews.

Tough to beat in a destroyer to destroyer fight, the Enforcer rarely takes part in larger battles due to the common view that its low speed makes it a liability. Nonetheless, Hegemony order of battle doctrines mandate an attached Enforcer squadron as a screen for Onslaught-class battleships. The logistical ease with which shared components can be used by both ship types is exactly the type of detail that excites Hegemony Logisticarum bureaucrats.",,,,
condor,SHIP,"The Condor-class sees heavy service in the Sector as this carrier-converted freighter is, for many independent polities, the easiest way to procure fighter capability for their organization. Even with limited flight deck space, the Condor gets the job done, relying on its tough armor, excellent bulkhead strength, and a respectable (for a light carrier) weapons package.

This light carrier design is derived from Tarsus-class freighters modified by desperate scavengers and pirates. The conversion process was once an involved and complex affair requiring space dock facilities, but nowadays any hull-capable forge that will accept a stock Tarsus spec will, with the addition of a custom modchip, get you something just as good.

Some in the Sector argue that even the Domain, with all their technological know-how, relied on similar conversions to make more efficient use of a merchant fleet during times of escalated hostilities on the voluminous galactic frontier. Others point out that it is unclear how ubiquitous this approach was - there could have been fleets of Condors roaming Domain space, but there is scarce hard evidence one way or the other. Such data was all lost in the Collapse.",,,,
sunder,SHIP,A technologically advanced yet fragile destroyer from the late Domain era designed to provide additional firepower in fleet actions carried out by the stretched Domain Navy rather than serve on independent patrols. It has powerful shield emitters and energy weapons but is vulnerable to strike craft and flanking assault frigates.,,,,
hammerhead,SHIP,"A midline destroyer from the golden age of the Domain, the Hammerhead is respected for its staying power in battle as well as its ballistic capabilities.",,,,
phaeton,SHIP,"A medium tanker with enough fuel capacity to support a larger fleet. Tanker duty is often considered punitive in the Hegemony - there's little opportunity for distinction, and less chance of survival should direct contact with the enemy occur.",,,,
crig,SHIP,"Originally designed to assist in assembling large ships and orbital installations, the salvage rig's gantry and manipulators are used to assist in recovering derelict hulks and scavenging useful material from wreckage and debris fields. The rig itself has no cargo or fuel capacity and requires ample supply to maintain. Increases non-combat salvage gained, with more difficult operations being able to make use of more rigs.",,,,
prometheus,SHIP,"A tanker of vast capacity used to shift strategic quantities of fuel between worlds. Unlike its smaller cousins, the Prometheus features a reasonable defensive arsenal to protect its valuable and volatile cargo.",,,,
monitor,SHIP,"An oddity among ships, the Monitor is the result of the line of thought that “sometimes the best defense is indeed the best defense”. Features turret mounts angled to provide wide arcs and a unique “flux shunt” modification to its power systems specially constructed to relieve flux generated by shields. Indeed, the Monitor makes up for a lack of maneuverability and firepower with the ability to withstand prolonged bombardment from enemy ordnance.

Though its experimental nature is perhaps a sign of the innovation that eras of turmoil seem to inspire, whether the Monitor’s radical defensive focus is a boon or pitfall remains contentious. Several dramatic failures in convoy protection patrols were explained by Ko Combine PR representatives to be the fault of improper tactics employed by convoy commanders. Ko Combine maintains that when positioned correctly in a combat situation and supported by strike-craft - as the anvil and hammer, respectively - simulations demonstrate that the Monitor significantly enhances convoy survivability against the average pirate attack. Prominent critics remain.",,,,
cerberus,SHIP,"The Cerberus is prized for providing a cost-effective balance between cargo capacity and enough combat power for its size to discourage casual piracy with the happy result of lowered insurance rates compared to standard Domain-era civilian grade freighters. The Cerberus is now widely considered to be a wise choice for independent traders in the Sector. 

In times past, before the fall of the gate system when Domain authority reigned, combat-enabled freighters like the Cerberus found only niche use on the edges of the rare warzone or in especially uncivilized hinterlands of the galaxy where Domain Armada patrols were stretched thinly. The crew combat training, weapon maintenance, and mass/thrust ratio loss caused by heavier armour were viewed as causing unnecessary cost overhead. But this is a new age filled with both danger and profitable opportunities; the abilities of the Cerberus have given the hull a new life in the trade lanes.",,,,
heron,SHIP,"The Heron provides the strategic and tactical mobility of a cruiser with potential firepower limited only by available strike-craft. It is the perfect accompaniment to the quick-moving and hard-hitting fleet of an admiral who knows when to take the initiative, hit quickly, and withdraw while enemy forces are still responding to the threat.

Historically the Heron represented a movement in Domain Armada strategy from a heavy capital ship doctrine based on overwhelming firepower toward a focus on strike craft and support cruisers that enable sufficient firepower to be quickly focused on weak points, a strategic shift that would reverse itself as a natural reaction against tradition from each successive generation of Armada officers. This process was occurring once more in the cycles immediately preceding the fall of the gate system and, in something of a coup for the so-called “Cruiser School”, the forward-thinking Altair Exotech won the Heron design contract over the traditional manufacturer of heavy Armada warships, Orion Shipyards. 

However the doctrinal shift embodied by the Heron was interrupted by the isolation of The Fall, and as such it is not often found in core Hegemony fleets (whose officers still cling to tradition). This hull has however found great popularity among the independent worlds, megacorporations, and mercenary forces of the Sector that tend to field leaner, faster fleets.",,,,
drover,SHIP,"The Drover is a hull designed by the Cruiser-school-dominated Domain Naval Procurement Committee to provide a strategically versatile (though tactically limited) fighter platform with low logistical overhead. The fighter complement of the Drover is unmatched for its size. Command of a Drover is considered something of a test of character for junior officers: Will they use fearsome alpha-strike potential to seize victory in a sudden attack or hold back and use its threat to curtail aggressive moves by the opposition?

The contract for design of the Drover was won by Orion Shipyards, the traditional Armada ship-builder, in an effort to recover lost market share from the newer naval producers. The result was the 'flying landing strip' maligned by Domain officers as a command more fitting for a logistics bureaucrat than a fighting ship-captain. Complaints in the lower ranks were used by the old Capital-school faction to send the Drover back to committee, citing insufficient firepower for the ship class to meet standard guidelines (which did not account for the strike potential of new classes of fighters). Set up to take the fall for a massive overspend, the committee simply ordered an enormous number of simple missile hardpoints installed- this met the firepower requirements handily and allowed the Drover programme to proceed with only minor alteration.",,,,
hermes,SHIP,"The Hermes is a small, dependable cargo hauler often converted for transport duty among poor frontier worlds. Its crew and passenger facilities are charitably described as ""robust"" but it manages to get the job done with remarkable consistency despite the primitive maintenance facilities it frequents.

Factory-spec, the Hermes is armed only for ""active collision avoidance"", but its turret system is often upgraded to achieve nearly full albeit light point-defense coverage that can destroy the stray missile while escaping from active combat zones. This firepower is meagre compared to dedicated combat ships so only a mad or truly desperate captain would employ the Hermes in front line combat.",,,,
ox,SHIP,"The Ox-class tug carries a drive field stabilizer that allows a fleet to reach a higher burn level. It's rare to see more than one or two of these in a fleet, however, due to prohibitive fuel consumption and high maintenance costs.",,,,
dram,SHIP,A light tanker with enough fuel capacity to more than double the effective range of a small task force or convoy.,,,,
vigilance,SHIP,"An excellent harasser and support frigate, the Vigilance-class has oversized (for its class) energy and missile mounts. While it shines in a fleet setting, it can be easily overwhelmed by large numbers of smaller threats.",,,,
brawler,SHIP,"Typically deployed to beef up system police forces and port authority security, the Brawler-class frigate is a robust design which trades mobility (and comfort) for impressive firepower, armor, and a destroyer-grade power generator.",,,,
tempest,SHIP,"An asymmetric, advanced design from the late Expansion Epoch, the Tempest-class is the quintessential attack frigate - fast, deadly and difficult to destroy.",,,,
omen,SHIP,The Omen is rarely deployed due to the cost associated with maintaining such a technologically advanced ship. Its excellent shields and the EMP Emitter it carries make it a perfect escort for larger ships.,,,,
lasher,SHIP,"A favorite of pirates and private armies due to the ubiquity of the blueprints and its non-demanding support profile, Lasher-class frigates pack a respectable amount of ballistic firepower.

Lasher captains are usually no-nonsense types who let their weapons do the talking, and pick through the debris of enemy ships as opposed to trying more diplomatic or covert means of getting the job done. More often than not, that job involves quickly and effectively striking at (or guarding) small or medium-sized trade convoys. The light fighter and frigate escorts usually found guarding such convoys are hardly a match for the hail of projectiles a Lasher can quickly unleash. If that does not get the job done, the Lasher has another nasty surprise in wait - two missile hardpoints, more often than not fitted with ""finisher"" types of missile, such as the Harpoon MRM.",,,,
mercury,SHIP,"One of the smallest ships in the Sector equipped with an on-board hyperdrive actuator, this class is typically used for safely transporting VIPs or couriers between star systems.

Although small, the Shuttle-class is outfitted for the comfort and security of its potential VIP passengers. It is rare to see one in combat; if a captain is unlucky enough to be in such a spot, one can quickly see why: most power systems on board are reserved for use by the life support, comfort and entertainment modules, installed to make sure that passengers do not get bored on long voyages.",,,,
hyperion,SHIP,"A bleeding-edge advanced gunship built around a unique phase teleportation system. The finicky integrated prototype power grid is tricky and expensive to maintain but delivers excellent flux and shield performance. The Hyperion was built to 'punch up', using tactical positioning to pick its fights then engage with a relatively heavy weapon weapon loadout for its class, mounted at the expense of point defense capability.

Considered a 'hangar queen', the Hyperion is scorned by quartermasters yet prized by Tri-Tachyon fleet directors who admire the purity of the ambition which can be felt throughout its design and application.",,,,
hound,SHIP,"An old but durable hull class that lacks a shield generator, this frigate is sometimes used to ferry cargo instead of for combat duty. A lucky or gifted officer could make his fortune given the chance to captain one.",,,,
wolf,SHIP,"A technologically advanced frigate with an efficient shield generator and an impressive weapons package that allows it to punch far above its weight. These same characteristics mean its frigate-grade power core struggles to keep up, making careful flux management a priority.",,,,
thunder,SHIP,"Extremely fast, well-armed, and with a long engagement range, the Thunder's strength lies in enabling a carrier to rapidly project force at the desired location. Not as damaging as a bomber or as tough as a heavy fighter, it will falter if forced into a prolonged engagement.",,,,
warthog,SHIP,"Boasting superb armor with firepower to match, the Warthog is capable of trading blows with larger ships, but lacks shield-breaking weapons. A decoy flare launcher helps draw fire away from its more vulnerable allies.",,,,
gladius,SHIP,"Fast, deadly and well-armored, the Gladius excels at improving both the firepower and survivability of interceptor groups. However, when facing durable opponents, the small number of craft in a wing begins to tell.",,,,
mining_drone,SHIP,"Sturdy and uncrewed, the Mining Pod can provide a bit of a distraction and a bit of fire support, and not much else. Incapable of operating away from the mothership.",,,,
longbow,SHIP,"Fast and equipped with a shield generator, the Longbow's job is to deploy its kinetic Sabot missile from range and return to the carrier to rearm. Most effective when its shield-breaking kinetic damage is combined with that of heavier damage-dealers.",,,,
trident,SHIP,"Equipped with dual Atropos-class torpedoes and a top-notch shield generator, the Trident is perhaps the most feared of all bombers. Its effectiveness is somewhat limited by its low top speed and demanding logistical profile.",,,,
piranha,SHIP,"The Piranha deploys unpowered conventional bombs en masse, relying on momentum to deliver the payloads. The maximum damage potential is extreme, but most targets can either avoid or shoot down many of the bombs.",,,,
broadsword,SHIP,"Tough and agile, the Broadsword carries a decoy flare launcher that draws defensive fire away from high-value targets like bombers and their payloads. However, it can falter if faced with the need to deal the killing blow itself.",,,,
xyphos,SHIP,"Heavily shielded and armed with long range weapons, the Xyphos is highly effective in a close support role. Its reliance on targeting and navigation feeds from larger ships mean it's incapable of operating independently.",,,,
wasp,SHIP,"Fast and nimble, Wasp drones typically outnumber and easily swarm enemy fighter formations while their Stinger mines prevent stragglers from getting through. Faced with point-defense weaponry, their fragility begins to tell, but the lack of a pilot on board means losses are more easily absorbed.",,,,
dagger,SHIP,"Armed with a highly damaging torpedo, the Dagger is fragile but equipped with a shield generator that usually enables it to get within launch range. However, even a large torpedo barrage is unlikely to get through concentrated point-defense fire without a distraction.",,,,
talon,SHIP,"Fast and cheap, the Talon sports surprising firepower and is capable of dispatching enemy fighters. It can also deal appreciable damage to larger ships when used en masse, though such use usually results in heavy pilot losses.",,,,
hoplon,SHIP,"The Khopesh can deliver an accurate and devastating rocket barrage to its target. Safer and more reliable in dealing its damage than other bombers, it also doesn't boast quite the same damage potential.",,,,
claw,SHIP,"Nimble and equipped with a low-grade shield generator, the Claw is primarily a support fighter. The EMP damage it deals is temporarily crippling to poorly-shielded targets, but it's incapable of dealing much permanent damage on its own.",,,,
drone_borer,SHIP,"Slow and not very sturdy, this combat-modified mining drone is nonetheless capable of keeping hostiles off its mothership for a time. Fielded in numbers, it can even present a credible threat to smaller combat ships.",,,,
drone_terminator,SHIP,"A point-defense drone built around the dreaded Terminator Core target analyzer, which finds transient weak points on missiles and fighters with unerring precision. Rumors about the core's AI intermittently exceeding the generally-allowed delta level during complex combat situations remain unproven.",,,,
doom,SHIP,"Designed when phase technology was generally unknown and phase detectors were not a standard of every sensor package, this cruiser has lost the advantage of surprise - but retains a dangerous and flexible weapons loadout. 

Certain unnerving psychological phenomena have been reported by sensitive crew members after enduring many rapid phase-shifts in combat conditions. Domain Navy reports on the subject were never declassified and are thought to have been lost since the Collapse.",,,,
shade,SHIP,"The smallest phase ship operated in the Sector, the Shade-class is often used as a scout for larger fleets. In battle, it is valued by fleet admirals for its ability to disable enemy ships with its EMP emitter.",,,,
afflictor,SHIP,A dangerous and swift phase frigate with a weapons loadout that is powerful enough to bring down much heavier ships. The Afflictor possesses a device which exploits a unique modification of its integrated phase coil array to project a field of anomalously amplified entropy. This effects a devastating increase in destructive instability in delicate or finely tuned systems when the targeted vessel experiences chaotic high-energy events ie. combat damage. Everything that can possibly go wrong does.,,,,
harbinger,SHIP,"A deadly phase destroyer feared and scorned by those crews who have suffered the misfortune of facing it in battle. The Harbinger possesses a device which allows it to briefly disable enemy ships, creating openings that it - or its allies - can exploit.

""The Tri-Tachyon Corporation denies allegations of ongoing involvement in phasing experiments, much less the - and I quote - 'clandestine development and operation of phase warships' which would of course be in direct violation of the Treaty of Thule. It is Company policy to pursue full persecution of individuals, mercantile bodies, spiritual clades, and any registered polities committing gross and flagrant defamation to the full extent of local jurisdictional power as per the Sector Commercial Accords of Cycle 32 AC. Our legal team will be in touch.""",,,,
gremlin,SHIP,"This ancient phase prototype rig was never intended for mass production, yet someone managed to extract its reverse-engineered blueprints from the firmware of a nanoforge. The resulting skeleton of hull is given standard armour cladding, the merest nod of a life-support module, and as many missiles as can be crammed into the remaining voids.

The Gremlin, as it became known, is hated by its crew who suffer not only the dubious honour of a close-in strike role but also the disturbing wash of the prototype phase coil. Substance abuse is ubiquitous. An awful little ship.",,,,
bastillon,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.
  
The Bastillon was a hopeful project of Mbaye-Gogol to up-size its popular ""Defender""-class specialized point-defense war drone. It is bigger, tougher, more heavily armed - and rather more lucrative per-unit to the MGA bottom-line.",,,,
berserker,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The Berserker is a considerably up-sized, up-armed, and up-armoured cousin of the Warden-class for use against heavier opposition. As an automated drone the Berserker's combat algorithms make little consideration for its own survival, instead pursuing and attacking its target relentlessly until either it or the target is destroyed.",,,,
defender,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The Defender was one of the most commonly seen war drones used by the Domain as it was deployed to harden frontier convoys and vulnerable outposts in a point defense role.",,,,
sentry,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The Sentry war drone is packed with missiles and provided cheap, automated fire support to thinly-stretched frontier patrols.",,,,
warden,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The Warden was feared and hated by pirates on the frontier of the Domain for the relatively heavy firepower it would unleash upon unshielded craft. Often denigrated in Luddic propaganda as a ""murdering machine"" for the merciless aggression it displayed when activated.",,,,
picket,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

Numerous vulnerabilities leave the Picket-class drone easy to underestimate, but woe to the captain who commits this error. If the Picket is allowed to follow its programming to close aggressively with its target, it will unleash shockingly dense volume of light-caliber fire to rip apart unarmored hulls.",,,,
rampart,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

Little more than an artillery platform with engines, the Rampart was attached to drone units to provide the heavy firepower necessary to meet cruiser and capital class hulls in the line of combat or to crack armoured orbital fortresses. In either role, heavy losses were anticipated, so the Rampart was designed with highly modular components which allowed badly damaged hulls to be rapidly cannibalized to repair lightly damaged hulls up to combat capacity without the need for shipyard facilities.",,,,
guardian,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Nothing like this, however, could possibly have been deployed by the Domain drone armadas.

There are elements of standard droneships within the hull structure, but they are covered by malevolently angled glacises and illogical tangles of conduit. Surely this monstrous vessel is the product of some deranged Domain naval architect, or a production chip corrupted by exposure to kilolights of faulty drive field?",,,,
ziggurat,SHIP,"A plaque on the bridge declares this ship class to be the result of ""Project Ziggurat"". It appears to be built on technology created in a Tri-Tachyon prototype lab unknown to the Persean Sector at-large. In addition to advanced conventional loadout, there are certain one-off components of exotic manufacture - it is possible to reverse-engineer undamaged examples and produce replacements, but the underlying operating principles do not resemble any known Domain technology and thus remain a mystery.

The Ziggurat-class ship once had a human crew; or, at least, was intended to be crewed by humans. No sign of them remains as physical evidence or in databanks. Even the cleanest Hegemony warship will have some initials and a rude word or two about the CO scratched behind a maintenance hatch. Here, nothing.",Unidentified Vessel,Target profile resembles a phase-enabled hull on a theoretically impossible scale; likely highly unstable. Sensors indicate capital-equivalent weapon loadout in addition to anomalous readings suggesting one or more unknown technology systems. Tactical analysis adjunct cannot determine role of unknown technology. Extreme caution advised.,,
supplies,RESOURCE,"Assorted supplies required by ships and crew, ranging from rations and uniforms to munitions, spare parts, microfab feedstock, and prefab components.",,,,
fuel,RESOURCE,Standard starship fuel on which interstellar civilization relies. Composed of antimatter trapped in fullerene shells mixed in a semi-stable foam with heavy isotopes of hydrogen. Fairly safe.,,,,
crew,RESOURCE,Skilled personnel experienced in the maintenance and day-to-day operation of spaceships and smaller ground-based installations.,,,,
marines,RESOURCE,"Heavily armed and equipped with powered armor, marines specialize in planetside operations such as raids.",,,,
alpha_core,RESOURCE,"An alpha-level AI core is capable of excelling at any task. Assigning one to run a colony-wide industry brings benefits well beyond the capacity of human leadership, and there are even rumors of alpha cores surreptitiously assigned to govern entire worlds.

Selling AI cores on the open market is prohibited by most factions. However, higher-up faction representatives are often willing to exchange AI cores for large sums of cash when communicated with directly, though their reasons for doing so may vary.

The alpha-level AI core is the physical soul of a fearsome alien intelligence. An alpha can create art which perfectly simulates human pathos, plausibly debate any philosophical position, and form what appear to be deep and meaningful bonds with human beings. Alphas have been known to perform elaborate 'jokes' built over years which can only be appreciated due to the intention that a particular human subject become cognitive of the whole at a specific time and context.

Although the locus of vast material and intellectual investment, alphas terrified Domain strategic planners. Like all AI, each alpha was watched, controlled, and ruthlessly eliminated at the first sign of disloyalty. The Hegemony carries on these policies with even greater fervor.",,,,
beta_core,RESOURCE,"A beta-level AI core is capable of ably supporting most human endeavors, matching not-quite-human performance with its prodigious computational ability. Assigning a beta to aid human overseers in administering a colony-wide industry brings significant benefits.

Selling AI cores on the open market is prohibited by most factions. However, higher-up faction representatives are often willing to exchange AI cores for large sums of cash when communicated with directly, though their reasons for doing so may vary.

A beta-level AI core can easily pass for human, given anonymized communications protocols, and will readily and ably lie if deception is required to perform a given task. The beta employs cognitive modelling of human actors to anticipate reactions and emotional responses, though it is difficult to describe exactly what, if anything, the beta feels. Records on the subject are patchy and contradictory; a popular theory is that a beta will model a new personality for each human it comes into contact with.",,,,
gamma_core,RESOURCE,"A gamma-level AI core is capable of supporting most human endeavors, making up for a lack of creativity and problem-solving ability with prodigous computational prowess. Assigning a gamma to aid human overseers in administering a colony-wide industry brings significant benefits.

Selling AI cores on the open market is prohibited by most factions. However, higher-up faction representatives are often willing to exchange AI cores for large sums of cash when communicated with directly, though their reasons for doing so may vary.

A rare and valuable independent AI core, the gamma-level is the lowest tier core considered to be truly intelligent under Domain-era AI protocols. A gamma core will employ remarkable judgment and reasoning when assigned to straightforward tasks while using its savant-like data processing abilities to far exceed any individual human's abilities. It is relatively uncreative in problem-solving however, preferring to fall back upon direct, unsophisticated means.",,,,
station_mining_remnant,CUSTOM,"An abandoned mining station, once a source of wealth and industry to feed the worlds and works of humanity. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,,
station_research_remnant,CUSTOM,"An abandoned research station, built either to study some interesting local phenomenon or to study that which is best kept far, far away from inhabited worlds. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,,
orbital_habitat_abandoned,CUSTOM,"An abandoned orbital habitat. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,,
makeshift_station,CUSTOM,"A makeshift station, serving as a meeting place, base of operations, and a home to a fairly significant semi-permanent population.",,,,
derelict_ship,CUSTOM,This ship is adrift and powered down. Closer inspection may yield salvage or a recovery operation.,,,,
mission_location,CUSTOM,A location at the coordinates specified in your mission log.,,,,
sensor_ghost,CUSTOM,"Unidentified sensor contact. If it's a fleet, it's running with its transponder turned off.",,,,
avoid,ACTION_TOOLTIP,"Order your fleet to avoid this enemy if at all possible.

No ships will be assigned automatically. Any ships explicitly assigned will engage the enemy.",Avoid,,,
capture,ACTION_TOOLTIP,"Order your fleet to capture this objective.

Enough ships will be assigned to match enemy forces in the vicinity.

Once the objective is secured, this assignment will change to ""Control"".",Capture,,,
control,ACTION_TOOLTIP,"Order your fleet to retain control of this objective.

Enough ships will be assigned to match enemy forces in the vicinity, but no ships will be assigned if there is no enemy presence.

If the objective is lost, this assignment changes  to ""Capture"".",Control,,,
assault,ACTION_TOOLTIP,"Order your fleet to assault this objective.

A significant number of ships will be assigned regardless of whether there are any enemy ships in the vicinity.

Once the objective is secured, this assignment will change to ""Defend"".",Assault,,,
engage,ACTION_TOOLTIP,"Order your fleet to engage the target and any nearby enemy ships, without exposing themselves to undue danger.",Engage,,,
defend,ACTION_TOOLTIP,"Order your fleet to defend this location or ship.

A significant number of ships will be assigned regardless of whether there are any enemy ships in the vicinity.

If this location is an objective and is lost, this assignment will change to ""Assault"".",Defend,,,
civilian_rally,ACTION_TOOLTIP,"Order all civilian craft such as freighters, tankers, and transports to gather at the designated location.",Rally Civilian Craft,,,
rally_task_force,ACTION_TOOLTIP,"Order a custom group of ships to gather at this location.

No ships will be assigned automatically; only ships that receive direct orders to carry out this assignment will do so.",Rally Task Force,,,
strike_base,ACTION_TOOLTIP,"Order bombers, torpedo bombers, and support fighters to gather at this location.

All bombers on strike assignments will route through the nearest strike force waypoint before proceeding to the target. Bombers will also rendezvous here until the wing is at full strength, if carriers are on the field.",Rally Strike Force,,,
rally_fighters,ACTION_TOOLTIP,Order fighters to meet at this location while waiting to for lost fighters to be replaced by a carrier.,Fighter Rendezvous,,,
carrier_base,ACTION_TOOLTIP,Order a carrier to maintain position at the designated location.,Rally Carrier,,,
patrol,ACTION_TOOLTIP,Order some available light craft to guard the area.,Patrol,,,
show_video,ACTION_TOOLTIP,Show a live video feed from the selected ship.,Show Video Feed,,,
more_info,ACTION_TOOLTIP,Show detailed information about the selected entity.,More Info,,,
remove_waypoint,ACTION_TOOLTIP,Remove the currently selected waypoint and related assignments.,Remove Waypoint,,,
recon,ACTION_TOOLTIP,Order a frigate or a fighter wing to scout the waypoint.,Recon,,,
full_escort,ACTION_TOOLTIP,"Order up to 4 frigates, 2 destroyers, or a cruiser and some lighter craft  to escort the target, depending on what ships are available.

Only ships that are capable of keeping up with the target are assigned.",Heavy Escort,,,
light_escort,ACTION_TOOLTIP,"Order a single frigate to escort the target.

Only ships that are capable of keeping up with the target are assigned.",Light Escort,,,
destroyer_escort,ACTION_TOOLTIP,"Order a pair of frigates or a destroyer to escort the target.

Only ships that are capable of keeping up with the target are assigned.",Medium Escort,,,
repair_and_refit,ACTION_TOOLTIP,"Order this fighter wing to go back to the nearest carrier for repairs.

Destroyed fighters will be replaced and the weapons of all fighters will be reloaded.",Repair & Refit,,,
search_and_destroy,ACTION_TOOLTIP,"Order the selected ship to engage enemy targets at its discretion, instead of being assigned to specific tasks.",Search & Destroy,,,
retreat,ACTION_TOOLTIP,Order the selected ship to retreat from battle while defending itself.,Retreat,,,
direct_retreat,ACTION_TOOLTIP,Order the selected ship to retreat from battle at best speed.,Direct Retreat,,,
transfer_command,ACTION_TOOLTIP,"Transfer yourself and your staff to another ship.

You'll be able to take control of it once the command shuttle reaches its destination.",Transfer Command,,,
strike,ACTION_TOOLTIP,"Order fighters to attack this ship. Carriers assigned to this task will send their fighters to attack it and will attempt to stay within fighter range, but will otherwise maneuver and choose their own non-fighter targets independently.

Other types of ships given this assignment will try to attack the targeted ship regardless of the tactical situation, exposing themselves to greater risk, as if given the ""Eliminate"" command.",Fighter Strike,,,
harass,ACTION_TOOLTIP,Order a single frigate to harass this ship while staying out of its weapon range.,Harass,,,
intercept,ACTION_TOOLTIP,"Order your fleet to launch a dedicated attack on this ship. Ships given this assignment will try to attack the targeted ship regardless of the tactical situation, exposing themselves to greater risk.",Eliminate,,,
target,ACTION_TOOLTIP,Target the selected enemy ship or fighter wing leader.,Set as Target,,,
assign_task,ACTION_TOOLTIP,Override the chain of command to personally give one of your ships or fighter wings a specific assignment.,Assign Task...,,,
rescind,ACTION_TOOLTIP,Countermand the selected ship or fighter wing's direct orders and let it be assigned to tasks automatically.,Rescind Orders,,,
cancel_assignment,ACTION_TOOLTIP,"Cancel the selected assignment. Ships and fighter wings currently carrying it out will be automatically reassigned to other duties.

If the selection is a waypoint, it will also be removed.",Cancel Assignment,,,
autopilot,ACTION_TOOLTIP,"Enable autopilot. Your flagship will navigate and fight automatically and will be assigned tasks as appropriate, along with the rest of your fleet.",Toggle Autopilot,,,
,,,,,,
,,,,,,
,,,,,,
asteroid,ASTEROID,"A pitted chunk of metal, ice, or rock hurtling through space. Mainly significant for being a navigational hazard.",,,,
,,,,,,
gas_giant,PLANET,"Primarily composed of hydrogen and helium gases. The temperature and pressure at the core are extreme, but not enough to sustain the deuterium fusion that would turn the planet into a brown dwarf star.",,,,
ice_giant,PLANET,"A giant planet composed primarily of water, ammonia and methane. Within the depths, gravity generates enough pressure to form a core of metallic hydrogen.",,,,
lava,PLANET,"A geologically unstable planet without a permanently formed crust. Glowing fissures and active volcanoes litter the surface, the magma they spew forth combining to form flows that travel hundreds of kilometers across the charred surface.",,,,
frozen,PLANET,"Water or ammonia ice is the primary surface feature of this world. Below the surface, there may be a liquid ocean or a rocky crust.",,,,
barren,PLANET,Radiation from the nearby star ravages the surface of this world due to the lack of an atmospheric ozone layer. No significant geological activity. No indigenous life forms.,,,,
