name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
实验性相位线圈,ex_phase_coils,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ExperimentalPhaseCoils,降低 %s 相位线圈的冷却时间。,极大地降低相位线圈的冷却时间。,graphics/hullmods/phase_coils_experimental.png
感灵吸引场,high_frequency_attractor,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,一种实验性改造，使得该舰所搭载的裂隙核心可以裹挟能量读数更高的光尘。,发射更强力的光尘。,graphics/hullmods/high_volition_attractor.png
改装货舱,converted_bay,1,,,,,,,TRUE,,0,0,0,0,data.hullmods.ConvertedCargoBay,该舰的标准货舱已被改装成临时飞行甲板。不可靠的简易制造车间只能产出劣质的战机底盘，且大量内部构件都具有轻微缺陷，导致战机航速降低 %s 且所受伤害提高 %s。,用货舱临时改装成的飞行甲板。,graphics/hullmods/converted_hangar.png
庞然大物,vastbulk,,,,,,,,TRUE,,0,0,0,0,data.hullmods.VastBulk,其巨大的主体结构几乎可以承受所有常规伤害而不被摧毁。,,graphics/hullmods/vast_bulk.png
绕轴旋转,axialrotation,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AxialRotation,这个结构一直绕着它的中心轴旋转。,,graphics/hullmods/axial_rotation.png
固定旋转,anchorrotation,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AnchorRotation,该结构围绕着固定锚点进行旋转，仅适用于空间站模块。,,graphics/hullmods/axial_rotation.png
爆炸减免,reduced_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ReducedExplosion,降低自爆时的爆炸半径与伤害。,,graphics/hullmods/reduced_explosion.png
总是分离,always_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AlwaysDetaches,当被破坏时，总是会从主体上分离。,,graphics/hullmods/detach_always.png
永不分离,never_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NeverDetaches,当被破坏时，不会从主体上分离。,,graphics/hullmods/detach_never.png
零幅能武器,no_weapon_flux,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NoWeaponFlux,武器开火时将不产生幅能。,,
视为障碍,do_not_fire_through,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.DoNotFireThrough,其他模块上的武器会避免朝着该模块进行射击，即使炮火均会穿过本模块而不命中。,,
生成碎片,shard_spawner,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShardSpawner,该舰被摧毁或停机时生成欧米伽子机碎片。,,
取消后退,do_not_back_off,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DoNotBackOff,设置 DO_NOT_BACK_OFF AI 行为,,
,,,,,,,,,,,,,,,,,,
# ship skin buffs,,,,,,,,,,,,,,,,,,
第十四战斗群,fourteenth,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Fourteenth,"霸主 的前身 (人之领 第十四战斗群) 所配备的战舰是现如今研究 人之领 海军 ""决战"" 教条的原始样本。该舰采用大崩塌前的工业技术进行了一系列激进化的结构改装，目的是安装更加厚重的装甲板。提高 %s 点装甲值，降低 %s 的最高航速与机动性。而调整到极佳状态下的能源系统让该舰的幅能耗散/容量提高 %s。",,graphics/hullmods/fourteenth.png
霸主军事配件,heg_militarized,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Militarized,由于该舰在霸主的辅助舰列表中，因此才将其系统升级至军事级别标准。根据舰船级别，提高 %s/%s/%s/%s 装甲。而升级到军用标准的核心系统，让该舰的机动性提高 %s，幅能容量提高 %s，幅能耗散提高 %s。最大宇宙航速亦提高了 %s。,,graphics/hullmods/militarized_hegemony_auxiliary.png
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# permanent ship debuffs,,,,,,,,,,,,,,,,,,
受损装甲,comp_armor,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedArmor,"在过去某刻该舰曾遭受了无法修复的巨大损伤，或是在生产组装过程中发生了极其严重的失误。装甲值降低 %s。

但部署所需补给下降 %s。",,graphics/hullmods/compromised_armor.png
受损船体,comp_hull,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedHull,"在过去某刻该舰曾遭受了无法修复的巨大损伤，或是在生产组装过程中发生了极其严重的失误。结构完整度降低 %s。

但部署所需补给下降 %s。",,graphics/hullmods/compromised_hull.png
老化引擎,degraded_engines,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.DegradedEngines,"由于受到了战斗损伤，或是有生产缺陷，亦或是年久失修，该舰引擎的战斗表现已经大不如前。

战斗中最大航速与机动性均降低 %s 。

但部署所需补给下降 %s 。",,graphics/hullmods/degraded_engines.png
驱动力场故障,degraded_drive_field,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,data.hullmods.DegradedDriveField,"由于受到了战斗损伤，或是有生产缺陷，亦或是年久失修，该舰的驱动力场性能已经永久性降低。

宇宙航速下降 %s，被侦测范围上升 %s。

但部署所需补给下降 %s。",,graphics/hullmods/degraded_drivefield.png
缺损电网,faulty_grid,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.FaultyPowerGrid,"由于受到了战斗损伤，或是有生产缺陷，亦或是年久失修，该舰电网的运行效率无法恢复到巅峰水准。

降低 %s 幅能容量与 %s 耗散速率。被侦测范围上升 %s。

但部署所需补给下降 %s。",,graphics/hullmods/faulty_power_grid.png
不稳定相位线圈,unstable_coils,,,,"dmod, phaseDamage",,,,TRUE,,0,0,0,0,data.hullmods.PhaseCoilInstability,"因一些微妙的缺陷，导致该舰的相位线圈无法进行精细校正，降低 %s 相位时间增益，降低 %s 秒峰值时间，并且提高 %s 战备损耗率。

但部署所需补给下降 %s。",,graphics/hullmods/phase_coil_instability.png
结构损伤,comp_structure,,,,"dmod, damageStruct, destroyedDamageAlways",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStructure,"该舰的结构曾在过去受到一些极大的损伤，而导致其被重创后更容易会四分五裂。降低 %s 装甲值，降低 %s 结构值。

但部署所需补给下降 %s。",,graphics/hullmods/structural_damage.png
传感器阵列失灵,glitched_sensors,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GlitchedSensorArray,"该舰的传感器阵列遭受了严重的损伤，需要彻底翻修舰体才能修复。武器射程降低 %s，探测范围降低 %s。

但部署所需补给下降 %s。",,graphics/hullmods/glitched_sensor_array.png
通讯系统故障,malfunctioning_comms,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.MalfunctioningComms,"该舰的通讯系统遭到严重破坏，难以在复杂战况下保持通讯信号的稳定性。战机联队的最大交战距离降低 %s。

但部署所需补给下降 %s。",,graphics/hullmods/malfunctioning_comms.png
受损的制造工厂,defective_manufactory,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DefectiveManufactory,"受损的制造车间只能产出劣质的战机底盘，且大量内部构件都具有轻微缺陷，导致战机航速降低 %s 且所受伤害提高 %s。

但部署所需补给下降 %s。",,graphics/hullmods/defective_manufactory.png
受损的飞行甲板,damaged_deck,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedFlightDeck,"该舰的飞行甲板受到重创，严重干扰了战机联队的正常运作。提高 %s 战机联队重返战场所需要的时间。

但部署所需补给下降 %s。",,graphics/hullmods/damaged_flight_deck.png
不可靠子系统,fragile_subsystems,,,,"dmod, damage, peak_time, notPhase",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FragileSubsystems,"过多的组件损失导致峰值时间降低 %s，且战备状态的衰减速率提高 %s。

但部署所需补给下降 %s。",,graphics/hullmods/fragile_subsystems.png
受损货舱,comp_storage,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStorage,"该舰存储能力大大降低。船员，货物和燃料容量均降低 %s。

但部署所需补给下降 %s。",,graphics/hullmods/compromised_storage.png
过度维护,increased_maintenance,,,,"dmod, damage, civ, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.IncreasedMaintenance,"每月维护消耗的补给提高 %s，最低所需船员提高 %s，并降低 %s 战备值 (CR) 上限。

但部署所需补给下降 %s。",提高维护成本与最低船员要求，并降低战备值 (CR) 上限。,graphics/hullmods/increased_maintenance.png
不稳定推进器,erratic_injector,,,,"dmod, damage, civ",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ErraticInjector,"燃料消耗量提高 %s，且降低 %s 点零幅能加速所提高的航速。

但部署所需补给下降 %s。",提高燃料消耗，并降低零幅能加速增益。,graphics/hullmods/erratic_injector.png
自动化系统损毁,faulty_auto,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FaultyAutomatedSystems,"提高最低所需船员数量 %s，并降低 %s 战备值 (CR) 上限。

但部署所需补给下降 %s。",提高最低船员需求，并降低战备值 (CR) 上限。,graphics/hullmods/faulty_automated_systems.png
武器位损坏,damaged_mounts,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedWeaponMounts,"降低武器转向速度 %s，并提高射击时的后坐力 %s。

但部署所需补给下降 %s。",降低武器转向速度且提高后坐力。,graphics/hullmods/damaged_weapon_mounts.png
维生系统故障,degraded_life_support,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedLifeSupport,"降低最大载员数量 %s，并降低 %s 战备值 (CR) 上限。

但部署所需补给下降 %s。",降低最大载员数，并降低战备值 (CR) 上限。,graphics/hullmods/degraded_life_support.png
护盾发生器老化,degraded_shields,,,,"dmod, damage, reqShields",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedShields,"提高护盾所受伤害 %s。

但部署所需补给下降 %s。",提高护盾所受伤害。,graphics/hullmods/degraded_shields.png
,,,,,,,,,,,,,,,,,,
武器位损毁,destroyed_mounts,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.DestroyedWeaponMounts,该舰的部分武器位已经遭到了无法修复的严重损伤，无法继续使用。,,graphics/hullmods/damaged_weapon_mounts.png
不明智改装,ill_advised,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.IllAdvised,该舰所搭载的系统已经经过了大刀阔斧的修改，且过程中并未受到合规的工程监督。系统看上去能在一般条件下正常工作，但在面对战斗压力时，关键部位发生故障概率将非常高。,,graphics/hullmods/illadvised.png
