id,trigger,conditions,script,text,options,notes,
defaultDaudInquiry,PopulateOptions,"$id == daud
!$askedToMeet",,,"defaultDaudInquiry_see:""我想见霸主最高领导人一面。""",,
defaultDaudInquirySee,DialogOptionSelected,$option == defaultDaudInquiry_see,"$askedToMeet = true 0
$contact_printedFirstReturnGreeting = true 0
FireAll PopulateOptions","""不好意思，最高领导人事务繁忙。""候补军官温和地微笑着。",,,
defaultDaudHolo2,DialogOptionSelected,$option == defaultDaud_holoExperience,"$gotHoloExperience = true
$player.gotHegemonyHoloExperience = true
AddTextSmall ""获得霸主150周年纪念活动全息体验卡带"" highlight
FireAll PopulateOptions","""我希望你能享受霸主历史的带来的感官盛宴，""候补军官说，""从Molina上将那救英仙座星区于水火的史诗级远航，到霸主最高领导人Daud战胜速子科技和AI入侵者。""",,,
,,,,,,,
defaultRaoGreeting,PickGreeting,$id == rao score:1000,"ShowPersonVisual
FireAll PopulateOptions
SetShortcut cutCommLinkPolite ""ESCAPE""","在短暂的等待中，你可以看到霸主海军的宣传海报在他们的舰队上方滚动着，然后你向Rao上将办公室发起的通讯请求被接受了。

""所以，""在Raesvelg之围中诞生的英雄看着你，""一个自由佣兵跑到这穷乡僻巷来做什么?""",0:cutCommLinkPolite:切断通讯,,
,,,,,,,
# Pirates,,,,,,,
defaultGreetingKanta,PickGreeting,$id == kanta score:1000,,在短暂的等待后，你的通讯连接请求被拒绝了。,0:cutCommLink:切断通讯,,
defaultGreetingCydonia,PickGreeting,$id == cydonia score:1000,,在短暂的等待后，你的通讯连接请求被拒绝了。,0:cutCommLink:切断通讯,,
,,,,,,,
# Horus Yaribay after GAATG,,,,,,,
YaribayFollowupNotDone,PickGreeting,"$id == horus_yaribay score:1000
$global.gaATG_returnWithDeal
$player.metDaud",ShowPersonVisual,"""我还没有收到霸主最高领导人Daud的消息。我认为你应该继续按照我们之前的协议，用我提供的材料来进行联系。""

他用一种看起来很无情的态度打量了你一番，说道:""我会很有耐心地在这等着的。""",cutCommLink:切断通讯,,
YaribayFollowup,PopulateOptions,"$id == horus_yaribay score:1000
!$global.gaATG_returnWithDeal
$player.metDaud",,,"yaribay_followup1:""和我们共同的朋友联系上了吗?""",,
YaribayFollowup1,DialogOptionSelected,"$option == yaribay_followup1
$player.gaveDaudYaribayContact
AddPotentialContact horus_yaribay",#Call addContacts,"""我很高兴，我已经和我们共同的朋友取得了联系。""Horus眨了眨眼，""如同所有美妙的事，享受这种通过努力取得的成果需要时间。""

""看来信任你是个正确的决定。也许我们以后还会进行一些交易。啊，我之前有没有提到，尽管道德层面或许有些污点，Yaribay这个姓氏却在最新一代人身上证明着它的学术实力?好吧，让我告诉你...""

在被Yaribay后裔于Galatia学院取得的各种如传说般的成就塞满耳朵之前，你设法成功溜之大吉。",cutCommLink:切断通讯,,
YaribayFollowup2,DialogOptionSelected,"$option == gaATG_yaribayFollowup1
!$player.gaveDaudYaribayContact",,"""不幸的是，我还没有收到来自...我们共同的朋友的消息。""Horus皱着眉头说，""也许这只是时间问题。就像对所有美好的事物一样，我们必须得满怀期待。""",cutCommLink:切断通讯,,
,,,,,,,
# Tri-Tachyon,,,,,,,
defaultSunGreeting,PickGreeting,$id == sun score:1000,"#ShowPersonVisual
#FireAll PopulateOptions
SetShortcut cutCommLinkPolite ""ESCAPE""","在漫长的等待之中，你好像看到蒸发的期货在速子科技公司大楼的顶部盘旋，接着CEO Artemisia Sun办公室一位梳妆打扮得很完美的初级秘书接受了你的通讯请求。

""速子科技公司欢迎您来到Eochu Bres。请问我们能帮您什么忙吗?""

这个世道应该没有能凭空诞生如此兴致的人，你意识到了这是某种全息模拟界面。","cutCommLink:切断通讯
sunOffice_talk:""我想和Artemisia Sun谈谈。""
sunOffice_human:""请让个人类接电话。""",,
sunOfficeTalk,DialogOptionSelected,$option == sunOffice_talk,,"""对不起，舰长，""模拟出来的秘书脸上荡漾出一个耀眼的微笑，情绪酝酿得恰好能传递出歉意并让你产生一丝自我怀疑 - 不，你坚定了内心。模拟程序不可能有感情。

""恐怕我无法完成您的请求。""它用友好的语气说。从它的言语深处你能感受到无情的机械意志。你可以在这里乞求几天，对方却不会做出一丝一毫的让步。",cutCommLink:切断通讯,,
sunOfficeHuman,DialogOptionSelected,$option == sunOffice_human,,"""对不起，舰长，""模拟出来的秘书脸上荡漾出一个耀眼的微笑，情绪酝酿得恰好能传递出歉意并让你产生一丝自我怀疑 - 不，你坚定了内心。模拟程序不可能有感情。

""恐怕我无法完成您的请求。""它用友好的语气说。从它的言语深处你能感受到无情的机械意志。你可以在这里乞求几天，对方却不会做出一丝一毫的让步。",cutCommLink:切断通讯,,
,,,,,,,
"# Callisto Ibrahim, general",,,,,,,
defaultCallistoGreeting,PickGreeting,$id == ibrahim,"ShowPersonVisual
FireAll PopulateOptions","对方皱着眉头打量着你，似乎在评估着什么。

""你好，我是Ibrahim星际运输与打捞公司的Callisto Ibrahim。""",,,
